Country/Region,Date,Confirmed,Deaths,Recovered,Active
Afghanistan,1/22/2020,0,0,0,0
Albania,1/22/2020,0,0,0,0
Algeria,1/22/2020,0,0,0,0
Andorra,1/22/2020,0,0,0,0
Angola,1/22/2020,0,0,0,0
Antigua and Barbuda,1/22/2020,0,0,0,0
Argentina,1/22/2020,0,0,0,0
Armenia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Australia,1/22/2020,0,0,0,0
Austria,1/22/2020,0,0,0,0
Azerbaijan,1/22/2020,0,0,0,0
Bahamas,1/22/2020,0,0,0,0
Bahrain,1/22/2020,0,0,0,0
Bangladesh,1/22/2020,0,0,0,0
Barbados,1/22/2020,0,0,0,0
Belarus,1/22/2020,0,0,0,0
Belgium,1/22/2020,0,0,0,0
Benin,1/22/2020,0,0,0,0
Bhutan,1/22/2020,0,0,0,0
Bolivia,1/22/2020,0,0,0,0
Bosnia and Herzegovina,1/22/2020,0,0,0,0
Brazil,1/22/2020,0,0,0,0
Brunei,1/22/2020,0,0,0,0
Bulgaria,1/22/2020,0,0,0,0
Burkina Faso,1/22/2020,0,0,0,0
Cabo Verde,1/22/2020,0,0,0,0
Cambodia,1/22/2020,0,0,0,0
Cameroon,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Canada,1/22/2020,0,0,0,0
Central African Republic,1/22/2020,0,0,0,0
Chad,1/22/2020,0,0,0,0
Chile,1/22/2020,0,0,0,0
China,1/22/2020,1,0,0,1
China,1/22/2020,14,0,0,14
China,1/22/2020,6,0,0,6
China,1/22/2020,1,0,0,1
China,1/22/2020,0,0,0,0
China,1/22/2020,26,0,0,26
China,1/22/2020,2,0,0,2
China,1/22/2020,1,0,0,1
China,1/22/2020,4,0,0,4
China,1/22/2020,1,0,0,1
China,1/22/2020,0,0,0,0
China,1/22/2020,5,0,0,5
China,1/22/2020,0,0,0,0
China,1/22/2020,444,17,28,399
China,1/22/2020,4,0,0,4
China,1/22/2020,0,0,0,0
China,1/22/2020,1,0,0,1
China,1/22/2020,2,0,0,2
China,1/22/2020,0,0,0,0
China,1/22/2020,2,0,0,2
